3,-34,-118,-6,-12,-5,-1,-54
-25,-11,39,-10,-2,-5,12,67
2,10,-2,43,4,1,-4,-5
-10,-3,10,33,-5,-8,-5,20
34,33,16,9,9,20,5,0
-37,-5,-10,69,3,-7,-8,-23
-3,7,6,-52,-1,8,12,37
-16,-8,10,82,-10,-18,-10,-21
-41,-1,-32,67,5,-6,-7,6
12,5,44,-8,-7,0,-4,-9
-59,-5,-19,32,-6,-5,-8,-3
-11,-14,14,6,10,8,9,14
-26,-18,-71,7,-5,-5,-9,7
5,0,46,-2,7,4,5,-35
-2,0,12,66,7,2,-4,5
0,-4,-12,-9,-11,-9,-5,-49
31,4,44,-6,8,4,11,60
-9,-11,-93,-23,12,7,-1,-2
-20,-17,-10,12,-11,-6,-23,-105
47,18,54,31,0,7,24,100
2,-6,-16,13,3,-5,-3,-18
-14,3,-20,-72,-22,-8,-7,-26
-63,-14,38,20,3,8,12,13
1,-19,-87,-103,-7,3,-3,-37
-24,11,17,-30,-10,-9,-10,-6
32,7,20,-1,3,1,3,-11
-40,0,35,-10,9,-3,-12,-3
49,-3,-21,-117,-31,-7,3,-2
18,3,25,105,22,-1,-1,32
-2,19,71,-63,-15,9,1,4
7,-10,36,69,12,1,-7,-7
-73,27,-18,-32,3,0,7,7
56,6,22,39,12,1,0,-10
-16,-17,-81,-74,-24,-9,-8,11
55,8,-26,57,-5,-12,5,58
19,-6,53,93,10,11,-10,-31
-30,0,28,-2,7,2,-2,-4
-22,-20,3,33,19,9,18,-3
0,-3,-30,-90,-12,-6,7,-12
-44,-2,26,21,3,-6,-12,-30
3,8,-1,-78,-12,-3,-2,2
2,-17,-44,27,9,1,-1,16
8,-8,-64,52,29,3,2,-4
-21,-3,13,55,-14,-6,0,6
-7,-20,-63,-27,-15,3,-3,11
-21,-15,-42,-45,-7,-12,-4,-20
45,-3,65,104,0,0,-4,-28
3,11,20,-1,16,-1,3,14
-18,-5,-10,0,-8,-6,-6,-21
12,-7,-3,26,0,0,-5,3
-18,21,42,2,-9,0,4,-3
-21,-16,-14,-36,-14,7,-12,-26
-44,-21,-1,14,-8,-3,2,-4
-2,25,-23,52,17,-7,-9,-22
-21,-14,-50,-99,-33,-7,3,38
24,-16,-73,37,12,-5,1,15
5,-8,-9,25,13,7,8,10
-39,-1,-2,-88,-20,-4,-3,-18
11,16,-2,-11,24,22,0,-9
33,3,47,-20,-10,-13,-5,-45
-12,-13,0,-5,3,0,18,67
